Word1	Word2	Score
gain	swap	0.928702013
operate	participate	0.730071856
approve	mind	0.854162934
perceive	think	0.828163265
scratch	crush	0.923934887
bite	beat	0.714029966
launch	prosper	1.349852324
set	combine	0.867185292
demolish	burn	0.881476722
decide	remember	1.013962822
pour	fry	0.902192037
recall	believe	0.94449527
suspect	comprehend	0.969249973
attempt	overcome	1.063352433
toast	pluck	0.841003997
burn	suck	1.153769395
drink	boil	1.128219733
multiply	start	0.957583895
pick	teach	0.879285442
pretend	differ	0.783978035
whip	drench	0.937897739
predict	scribble	1.226896552
fight	rub	1.101313089
inform	determine	0.732969432
know	beware	0.914567541
yearn	adore	0.595866128
charge	lend	0.949319554
whisper	cry	0.872135665
smother	press	1.052845049
calculate	think	0.860410271
elect	decide	0.592126888
result	glare	1.222882622
define	presume	1.097669946
freeze	taste	1.168878209
diminish	duplicate	1.436490431
include	manage	0.70786491
approve	presume	1.335462911
compute	inquire	0.873239053
push	snuggle	1.087530381
choke	chop	0.906927634
verify	write	0.849905059
disprove	examine	0.929698115
wipe	break	1.05743652
instruct	count	0.900099981
disguise	portray	0.45969614
overpower	deal	1.056466993
burn	mix	0.777261819
describe	certify	0.864450967
hustle	break	0.935883283
ponder	recall	0.66182651
hear	discover	0.898201342
analyze	explain	0.828241505
overcome	attend	0.992204405
associate	discover	0.975223746
decline	break	1.0362317
steer	win	1.050338989
appear	discover	1.051709179
inquire	educate	0.711711913
apply	overcome	1.144261825
operate	work	0.655456638
erode	wreck	1.052779766
search	shine	1.197226318
correct	concentrate	0.724259455
whip	cook	0.662265789
compute	analyze	0.485966709
break	whip	0.959468766
drench	strain	0.945948444
lead	repeat	1.231006316
magnify	shrink	1.190467618
educate	teach	0.128205056
freeze	slice	1.167677713
hear	pretend	1.170070411
slay	shove	1.007079353
grate	intoxicate	1.375237821
toil	direct	0.754079748
watch	glance	0.457338599
verify	read	0.940061488
preview	result	1.016404009
press	crush	1.066626745
cope	practice	0.986596863
overcome	manage	0.686108136
do	handle	0.662795903
realize	educate	0.703220037
sob	squeak	0.922783424
kick	smother	0.936981304
hustle	embrace	1.135334839
strive	deal	0.785127354
bite	dissolve	0.957883656
set	gulp	1.007209236
receive	possess	0.757827716
punch	pinch	0.836019321
speak	giggle	0.76348108
implode	explode	0.725450543
break	press	0.934518563
sting	shoot	0.837335061
bite	combine	1.263422903
spread	soak	1.176799686
fail	overpower	1.121178505
select	write	1.078522068
duplicate	increase	0.390664449
invent	discover	0.598801795
explode	decay	1.249555625
examine	forget	1.057227922
overpower	promote	1.212569332
spread	set	1.14573169
lead	promote	0.966827183
select	explain	0.880747477
boil	munch	1.147445902
lower	start	1.085637768
glance	look	0.369651307
stir	gulp	1.03043836
disregard	hear	0.906084413
clarify	register	1.19812527
reap	gather	0.534118214
starve	combine	1.158002456
suspect	hypnotize	1.038032128
boost	reduce	1.386577451
whip	grill	0.737335787
inspect	clarify	0.429493842
comprehend	register	1.061738978
pick	evaluate	1.351404839
enjoy	rejoice	1.000465191
brush	pelt	1.11806645
look	reappear	1.208949391
accept	instruct	0.977331433
shove	chop	0.852276555
squint	show	0.936387631
blend	mix	0.193751057
examine	presume	1.221798558
drink	slurp	0.322374974
rap	laugh	1.029398921
scratch	smash	0.988251396
decompose	demolish	0.967600535
kill	strike	0.737912308
rap	crunch	0.815256608
burn	implode	0.973068508
press	kiss	0.884092912
ignore	elect	1.486266879
compute	instruct	0.942712897
forget	disprove	1.158591313
laugh	tap	1.125008059
work	finish	0.892047292
