Word1	Word2	Score
acknowledge	disagree	1.121291805
strive	control	0.868875604
stain	make	0.796933911
fasten	paint	1.051399029
ensure	doubt	1.032213044
flip	follow	1.227943537
play	beg	1.330887456
enrage	bother	1.010377872
rescue	console	1.157376085
construct	weave	0.886273076
invent	determine	0.728570827
hurry	hunt	0.90998856
leave	spin	1.196768555
decay	demolish	0.995133313
reject	invalidate	0.645534187
shrink	rise	1.414154024
perceive	flash	0.801900044
describe	review	0.86849788
recruit	pray	1.291592991
punch	crack	1.109394652
visit	notify	0.901950475
beware	inquire	1.026573711
release	object	0.92581786
retire	spin	1.413263618
kill	rub	1.284894757
grate	gulp	1.422066007
differ	agree	1.450790279
scare	embarrass	1.086585455
block	bluff	1.238230965
hoot	pop	1.464966557
get	collect	0.674172643
freeze	stew	0.999663041
drink	drain	1.00016094
decorate	unite	1.078785344
slide	withdraw	1.061599398
hunt	stare	0.761622223
analyze	register	1.327642275
review	elect	1.23297647
confess	explain	0.931785751
wag	snore	0.826432224
mean	study	1.130220552
dig	mow	0.49325345
blur	mend	1.387846983
catch	pluck	0.573079919
sink	hustle	1.281997163
participate	accomplish	1.001386226
spill	dunk	1.040603363
suspect	guess	0.456848709
explain	frame	1.022134382
perspire	sniff	0.64174917
count	predict	1.140970092
avoid	ban	0.705189528
pretend	glow	1.103786615
blame	prohibit	0.877323899
sue	discharge	0.861854558
prove	believe	1.220515855
shatter	tear	0.614707246
work	overpower	0.773283355
feed	pour	0.716137909
compound	adopt	0.8166659
justify	ban	1.143475712
shuffle	bound	0.869270427
certify	scribble	1.186248452
fail	launch	1.507596944
approve	suggest	0.885037992
hustle	drip	1.227484031
erupt	snap	0.650242164
subtract	drag	0.967018057
prepare	yield	0.732833671
comfort	say	1.24333766
cooperate	inquire	1.049994723
ride	escape	0.9984441
choke	breathe	0.933485468
inhale	clench	0.881476357
chop	fry	0.720953908
devote	organize	0.933651223
hang	tug	0.849732777
possess	rob	1.030444818
frighten	humiliate	0.939702938
invite	persuade	0.977023602
dominate	include	1.229044865
address	teach	0.972620909
convince	depend	1.06064693
express	accept	1.139528713
clarify	concentrate	0.743322339
roam	return	1.003231039
sink	carry	0.962000301
submit	disown	1.319245008
perceive	glance	0.5626576
change	crochet	0.826507477
drain	put	1.204756604
cope	exploit	1.179954011
stop	blow	1.488915102
argue	compete	0.870518565
fix	fasten	0.874530076
throw	seize	0.95681849
discharge	condemn	1.010432222
flee	settle	0.916591149
explain	doubt	1.192196503
evacuate	tread	1.078784798
evaluate	ensure	0.834686449
breed	sweat	1.020017503
tug	shift	1.077297516
mow	tow	0.77164785
advance	rise	0.942301
certify	reflect	0.80929766
involve	cope	0.832430565
associate	forget	1.039861287
spank	rub	1.08927979
attach	create	0.841031389
come	vacate	0.99182183
tan	hatch	1.33379267
haul	cover	0.925981941
rap	whistle	1.199987583
stab	rip	0.935896809
talk	help	1.11427233
slither	flip	0.825784737
permit	yield	0.848450214
pat	grasp	1.027620254
deceive	discourage	0.911590215
slither	follow	1.14386237
suck	drain	1.130353402
perspire	exhale	0.649663262
sink	reel	0.85572698
scold	bluff	1.189761456
rebel	condemn	0.769263093
disperse	slip	0.909016819
neglect	damn	1.057434078
carry	throw	0.864710529
stop	poise	0.627882614
create	build	0.359408971
celebrate	amaze	1.034523774
get	acquire	0.238945945
kill	smother	0.605467154
discharge	remove	0.919799544
portray	adorn	1.011859617
complain	humiliate	0.989219268
adjourn	vacate	0.606134305
spoil	burn	1.221300931
sew	prepare	1.159339088
respond	engage	0.62430714
like	rejoice	1.142821648
